observed_on,description,scientific_name,common_name,taxon_order_name,taxon_family_name,field:perching on
25/03/2022,Beaten from Hawthorn (Crataegus sp),Micromus angulatus,Angular Brunette Lacewing,Neuroptera,Hemerobiidae,
25/03/2022,,Pieris rapae,Small White,Lepidoptera,Pieridae,
25/03/2022,,Pararge aegeria,Speckled Wood,Lepidoptera,Nymphalidae,
25/03/2022,Beaten from Hawthorn (Crataegus sp),Paradromius linearis,,Coleoptera,Carabidae,
25/03/2022,Beaten from Hawthorn (Crataegus sp),Physatocheila dumetorum,hawthorn lacebug,Hemiptera,Tingidae,
25/03/2022,Beaten from Hawthorn (Crataegus sp),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
25/03/2022,Beaten from Hawthorn (Crataegus sp),Harmonia axyridis,Harlequin Ladybird,Coleoptera,Coccinellidae,
25/03/2022,Beaten from Hawthorn (Crataegus sp),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
25/03/2022,Beaten from Hawthorn (Crataegus sp),Mecinus pascuorum,,Coleoptera,Curculionidae,
25/03/2022,Beaten from Hawthorn (Crataegus sp),Lochmaea crataegi,,Coleoptera,Chrysomelidae,
25/03/2022,Beaten from Hawthorn (Crataegus sp),Lochmaea crataegi,,Coleoptera,Chrysomelidae,
25/03/2022,Beaten from Hawthorn (Crataegus sp),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
25/03/2022,Beaten from Hawthorn (Crataegus sp),Anthonomus pedicularius,,Coleoptera,Curculionidae,
25/03/2022,Beaten from Hawthorn (Crataegus sp),Lochmaea crataegi,,Coleoptera,Chrysomelidae,
25/03/2022,Beaten from Hawthorn (Crataegus sp),Anthonomus pedicularius,,Coleoptera,Curculionidae,
25/03/2022,Beaten from Hawthorn (Crataegus sp),Lochmaea crataegi,,Coleoptera,Chrysomelidae,
14/02/2022,,Agalenatea redii,Gorse Orbweb Spider,Araneae,Araneidae,
25/03/2022,,Stictopleurus punctatonervosus,banded rhopalid,Hemiptera,Rhopalidae,
25/03/2022,,Andrena fulva,Tawny Mining Bee,Hymenoptera,Andrenidae,
25/03/2022,,Polygonia c-album,European Comma,Lepidoptera,Nymphalidae,
21/03/2022,,Pardosa nigriceps,Black-Palped Wolf Spider,Araneae,Lycosidae,
21/03/2022,,Bombylius major,Greater Bee Fly,Diptera,Bombyliidae,
21/03/2022,,Myathropa florea,Batman Hoverfly,Diptera,Syrphidae,
21/03/2022,,Pararge aegeria,Speckled Wood,Lepidoptera,Nymphalidae,
21/03/2022,,Aglais io,European Peacock Butterfly,Lepidoptera,Nymphalidae,
21/03/2022,,Polygonia c-album,European Comma,Lepidoptera,Nymphalidae,
21/03/2022,,Bombus pratorum,Early Bumble Bee,Hymenoptera,Apidae,
21/03/2022,,Adalia decempunctata,10-spot Ladybird,Coleoptera,Coccinellidae,
18/03/2022,Beaten from Hawthorn (Crataegus sp). ,Miris striatus,Fine Streaked Bugkin,Hemiptera,Miridae,
26/03/2022,Is this hibernating?,Vespula vulgaris,Common Wasp,Hymenoptera,Vespidae,
26/03/2022,,Andrena fulva,Tawny Mining Bee,Hymenoptera,Andrenidae,
26/03/2022,,Pseudeuophrys lanigera,House Jumping Spider,Araneae,Salticidae,
26/03/2022,,Bombus terrestris,Buff-tailed Bumble Bee,Hymenoptera,Apidae,
26/03/2022,,Gonepteryx rhamni,Common Brimstone,Lepidoptera,Pieridae,
26/03/2022,,Andrena fulva,Tawny Mining Bee,Hymenoptera,Andrenidae,
26/03/2022,,Aglais io,European Peacock Butterfly,Lepidoptera,Nymphalidae,
26/03/2022,One seen,Pararge aegeria,Speckled Wood,Lepidoptera,Nymphalidae,
26/03/2022,,Eupeodes luniger,Black-tailed Aphideater,Diptera,Syrphidae,
26/03/2022,,Gerris,,Hemiptera,Gerridae,
26/03/2022,,Coccinella septempunctata,7-spot ladybird,Coleoptera,Coccinellidae,
26/03/2022,On Alexanders (Smyrnium olusatrum),Scathophaga stercoraria,Yellow Dung Fly,Diptera,Scathophagidae,
26/03/2022,,Emmelina monodactyla,Common Plume Moth,Lepidoptera,Pterophoridae,
26/03/2022,,Liancalus virens,,Diptera,Dolichopodidae,
26/03/2022,,Pseudeuophrys lanigera,House Jumping Spider,Araneae,Salticidae,
26/03/2022,,Polygonia c-album,European Comma,Lepidoptera,Nymphalidae,
26/03/2022,,Gymnoscelis rufifasciata,Double-striped Pug,Lepidoptera,Geometridae,
26/03/2022,,Emmelina monodactyla,Common Plume Moth,Lepidoptera,Pterophoridae,
26/03/2022,,Cetonia aurata,European Rose Chafer,Coleoptera,Scarabaeidae,
26/03/2022,,Aglais urticae,Small Tortoiseshell,Lepidoptera,Nymphalidae,
26/03/2022,,Aglais urticae,Small Tortoiseshell,Lepidoptera,Nymphalidae,
26/03/2022,,Gymnocheta viridis,,Diptera,Tachinidae,
26/03/2022,,Aceria ilicis,Holm Oak Felt Gall Mite,Sarcoptiformes,Eriophyidae,
26/03/2022,,Philodromus rufus,,Araneae,Philodromidae,
26/03/2022,,Cecidophyes rouhollahi,Galium gall mite,Sarcoptiformes,Eriophyidae,
26/03/2022,,Aglais io,European Peacock Butterfly,Lepidoptera,Nymphalidae,
26/03/2022,,Bombylius major,Greater Bee Fly,Diptera,Bombyliidae,
26/03/2022,,Adalia bipunctata,2-spot Ladybird,Coleoptera,Coccinellidae,
26/03/2022,,Harmonia axyridis,Harlequin Ladybird,Coleoptera,Coccinellidae,
26/03/2022,,Epistrophe eligans,Spring Epistrophe,Diptera,Syrphidae,
26/03/2022,,Kleidocerys resedae,Birch Catkin Bug,Hemiptera,Lygaeidae,
26/03/2022,,Eristalis pertinax,Tapered Drone Fly,Diptera,Syrphidae,
26/03/2022,,Orgyia antiqua,Vapourer Moth,Lepidoptera,Erebidae,
26/03/2022,,Euproctis chrysorrhoea,Brown-tail Moth,Lepidoptera,Erebidae,
26/03/2022,,Polygonia c-album,European Comma,Lepidoptera,Nymphalidae,
26/03/2022,,Aglais io,European Peacock Butterfly,Lepidoptera,Nymphalidae,
26/03/2022,,Bombylius major,Greater Bee Fly,Diptera,Bombyliidae,
27/03/2022,,Zoropsis spinimana,Mediterranean Spiny False Wolf Spider,Araneae,Zoropsidae,
26/03/2022,Beaten from Hawthorn (Crataegus sp),Pogonocherus hispidus,lesser thorn-tipped longhorn beetle,Coleoptera,Cerambycidae,
27/03/2022,not comletely sure on this. Found indoors on orchid - just maybe lost!,Ichneumon stramentor,Yellow-tipped Darwin Wasp,Hymenoptera,Ichneumonidae,
27/03/2022,,Bombus terrestris,Buff-tailed Bumble Bee,Hymenoptera,Apidae,
27/03/2022,,Selenia dentaria,Early Thorn,Lepidoptera,Geometridae,
27/03/2022,,Orthosia cerasi,Common Quaker,Lepidoptera,Noctuidae,
26/03/2022,,Aglais urticae,Small Tortoiseshell,Lepidoptera,Nymphalidae,
26/03/2022,Egg sacs. There were 3 next to pond,Argiope bruennichi,Wasp Spider,Araneae,Araneidae,
27/03/2022,,Orthosia cerasi,Common Quaker,Lepidoptera,Noctuidae,
27/03/2022,,Selenia dentaria,Early Thorn,Lepidoptera,Geometridae,
26/03/2022,,Adalia bipunctata,2-spot Ladybird,Coleoptera,Coccinellidae,
26/03/2022,Beaten from Hawthorn (Crataegus sp),Mecinus pascuorum,,Coleoptera,Curculionidae,
27/03/2022,,Xylocampa areola,Early Grey,Lepidoptera,Noctuidae,
27/03/2022,,Anthophora plumipes,Hairy-footed Flower Bee,Hymenoptera,Apidae,
27/03/2022,,Eristalis pertinax,Tapered Drone Fly,Diptera,Syrphidae,
27/03/2022,,Anthophora plumipes,Hairy-footed Flower Bee,Hymenoptera,Apidae,
27/03/2022,,Epistrophe eligans,Spring Epistrophe,Diptera,Syrphidae,
27/03/2022,,Vespula vulgaris,Common Wasp,Hymenoptera,Vespidae,
27/03/2022,,Bombylius major,Greater Bee Fly,Diptera,Bombyliidae,
27/03/2022,,Anthophora plumipes,Hairy-footed Flower Bee,Hymenoptera,Apidae,
27/03/2022,,Limax maximus,Leopard Slug,Stylommatophora,Limacidae,
27/03/2022,,Limacus flavus,Yellow Cellar Slug,Stylommatophora,Limacidae,
27/03/2022,,Harmonia axyridis,Harlequin Ladybird,Coleoptera,Coccinellidae,
27/03/2022,,Emmelina monodactyla,Common Plume Moth,Lepidoptera,Pterophoridae,
28/03/2022,,Steatoda grossa,False Black Widow,Araneae,Theridiidae,
28/03/2022,,Bombylius major,Greater Bee Fly,Diptera,Bombyliidae,
28/03/2022,,Culiseta annulata,Banded house mosquito,Diptera,Culicidae,
28/03/2022,,Bombus terrestris,Buff-tailed Bumble Bee,Hymenoptera,Apidae,
28/03/2022,,Aglais io,European Peacock Butterfly,Lepidoptera,Nymphalidae,
28/03/2022,,Polygonia c-album,European Comma,Lepidoptera,Nymphalidae,
28/03/2022,,Pieris rapae,Small White,Lepidoptera,Pieridae,
28/03/2022,On Cardamine pratensis,Eupeodes,Aphideaters,Diptera,Syrphidae,
28/03/2022,,Harmonia axyridis,Harlequin Ladybird,Coleoptera,Coccinellidae,
28/03/2022,On Green Alkanet (Pentaglottis sempervirens),Bombus pascuorum,Common Carder Bee,Hymenoptera,Apidae,
28/03/2022,,Bombus terrestris,Buff-tailed Bumble Bee,Hymenoptera,Apidae,
28/03/2022,,Bombus vestalis,Vestal Cuckoo Bumble bee,Hymenoptera,Apidae,
28/03/2022,,Gymnocheta viridis,,Diptera,Tachinidae,
28/03/2022,,Bombus vestalis,Vestal Cuckoo Bumble bee,Hymenoptera,Apidae,
28/03/2022,Common,Epistrophe eligans,Spring Epistrophe,Diptera,Syrphidae,
28/03/2022,I think this is X.florum but there are a number of spines on the underside of hind leg.  The abdominal pattern seems to fit for florum.,Chalcosyrphus nemorum,Dusky-banded Leafwalker,Diptera,Syrphidae,
28/03/2022,I think this might be this species.  Winter moths are certainly found in the area!,Lypha dubia,,Diptera,Tachinidae,
28/03/2022,,Anthophora plumipes,Hairy-footed Flower Bee,Hymenoptera,Apidae,
27/03/2022,,Anthophora plumipes,Hairy-footed Flower Bee,Hymenoptera,Apidae,
27/03/2022,I think,Syrphus,Common Flower Flies,Diptera,Syrphidae,
28/03/2022,,Aglais urticae,Small Tortoiseshell,Lepidoptera,Nymphalidae,
28/03/2022,,Limax maximus,Leopard Slug,Stylommatophora,Limacidae,
24/03/2022,,Emmelina monodactyla,Common Plume Moth,Lepidoptera,Pterophoridae,
29/03/2022,"Found on a pear we didn’t eat fast enough. Has nice, evil-looking eyes.",Chrysoperla carnea,carnea-group Green Lacewings,Neuroptera,Chrysopidae,
26/03/2022,,Bombylius major,Greater Bee Fly,Diptera,Bombyliidae,
26/03/2022,,Orthosia gothica,Hebrew Character,Lepidoptera,Noctuidae,
27/03/2022,,Orthosia incerta,Clouded Drab,Lepidoptera,Noctuidae,
27/03/2022,On gorse,Harmonia axyridis,Harlequin Ladybird,Coleoptera,Coccinellidae,
27/03/2022,,Bombus terrestris,Buff-tailed Bumble Bee,Hymenoptera,Apidae,
29/03/2022,,Emmelina monodactyla,Common Plume Moth,Lepidoptera,Pterophoridae,
29/03/2022,,Emmelina monodactyla,Common Plume Moth,Lepidoptera,Pterophoridae,
29/03/2022,Beaten from Hawthorn (Crataegus sp),Tytthaspis sedecimpunctata,16-spot Ladybird,Coleoptera,Coccinellidae,
29/03/2022,Beaten from Hawthorn (Crataegus sp),Propylea quatuordecimpunctata,14-spot Ladybird,Coleoptera,Coccinellidae,
29/03/2022,Beaten from Hawthorn (Crataegus sp),Miris striatus,Fine Streaked Bugkin,Hemiptera,Miridae,
29/03/2022,Beaten from Hawthorn (Crataegus sp),Lochmaea crataegi,,Coleoptera,Chrysomelidae,
29/03/2022,Beaten from Hawthorn (Crataegus sp),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
28/03/2022,,Ichneumon stramentor,Yellow-tipped Darwin Wasp,Hymenoptera,Ichneumonidae,
27/03/2022,,Eudasyphora cyanella,,Diptera,Muscidae,
26/03/2022,,Coccinella septempunctata,7-spot ladybird,Coleoptera,Coccinellidae,
21/03/2022,,Aglais io,European Peacock Butterfly,Lepidoptera,Nymphalidae,
29/03/2022,Beaten from Hawthorn (Crataegus sp),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
26/03/2022,,Chrysomela saliceti,,Coleoptera,Chrysomelidae,
26/03/2022,,Chrysomela saliceti,,Coleoptera,Chrysomelidae,
26/03/2022,,Steatoda nobilis,Noble False Widow,Araneae,Theridiidae,
26/03/2022,,Phaedon tumidulus,,Coleoptera,Chrysomelidae,
26/03/2022,,Polygonia c-album,European Comma,Lepidoptera,Nymphalidae,
29/03/2022,,Agelastica alni,Alder Leaf Beetle,Coleoptera,Chrysomelidae,
26/03/2022,,Aglais io,European Peacock Butterfly,Lepidoptera,Nymphalidae,
30/03/2022,,Eristalis intricaria,Furry Dronefly,Diptera,Syrphidae,
30/03/2022,Beaten from Hawthorn (Crataegus sp),Lochmaea crataegi,,Coleoptera,Chrysomelidae,
30/03/2022,Beaten from Hawthorn (Crataegus sp),Deraeocoris lutescens,,Hemiptera,Miridae,
30/03/2022,Beaten from Hawthorn (Crataegus sp),Deraeocoris lutescens,,Hemiptera,Miridae,
29/03/2022,Beaten from Hawthorn (Crataegus sp),Lochmaea crataegi,,Coleoptera,Chrysomelidae,
31/03/2022,,Emmelina monodactyla,Common Plume Moth,Lepidoptera,Pterophoridae,
30/03/2022,,Merdigera obscura,Lesser Bulin,Stylommatophora,Enidae,
30/03/2022,,Sphaerophoria,Globetails,Diptera,Syrphidae,
30/03/2022,,Trochulus striolatus,Strawberry Snail,Stylommatophora,Hygromiidae,
31/03/2022,,Bombus vestalis,Vestal Cuckoo Bumble bee,Hymenoptera,Apidae,
31/03/2022,,Elasmucha grisea,Parent Bug,Hemiptera,Acanthosomatidae,
31/03/2022,,Melanostoma scalare,Ladder-backed Hover Fly,Diptera,Syrphidae,
25/03/2022,,Aglais io,European Peacock Butterfly,Lepidoptera,Nymphalidae,
01/04/2022,Empty shell,Lymnaea stagnalis,Great Pond Snail,,Lymnaeidae,
01/04/2022,Empty shell,Planorbarius corneus,Great Ram's-horn,,Planorbidae,
01/04/2022,,Bombylius major,Greater Bee Fly,Diptera,Bombyliidae,
28/03/2022,,Harmonia axyridis,Harlequin Ladybird,Coleoptera,Coccinellidae,
02/04/2022,,Pararge aegeria,Speckled Wood,Lepidoptera,Nymphalidae,
02/04/2022,,Epistrophe eligans,Spring Epistrophe,Diptera,Syrphidae,
02/04/2022,,Vanessa atalanta,Red Admiral,Lepidoptera,Nymphalidae,
02/04/2022,Visiting Taraxacum officinale agg,Melanostoma scalare,Ladder-backed Hover Fly,Diptera,Syrphidae,
01/04/2022,,Sialis,Holarctic Alderflies,Megaloptera,Sialidae,
02/04/2022,,Vespula vulgaris,Common Wasp,Hymenoptera,Vespidae,
02/04/2022,,Bombylius major,Greater Bee Fly,Diptera,Bombyliidae,
02/04/2022,Beaten from Hawthorn (Crataegus sp),Acrobasis advenella,Grey Knot-horn,Lepidoptera,Pyralidae,
02/04/2022,Beaten from Hawthorn (Crataegus sp),Mecinus pascuorum,,Coleoptera,Curculionidae,
02/04/2022,Beaten from Hawthorn (Crataegus sp),Physatocheila dumetorum,hawthorn lacebug,Hemiptera,Tingidae,
02/04/2022,Beaten from Hawthorn (Crataegus sp),Physatocheila dumetorum,hawthorn lacebug,Hemiptera,Tingidae,
02/04/2022,Beaten from Hawthorn (Crataegus sp),Acrobasis advenella,Grey Knot-horn,Lepidoptera,Pyralidae,
02/04/2022,Beaten from Hawthorn (Crataegus sp),Lochmaea crataegi,,Coleoptera,Chrysomelidae,
02/04/2022,Beaten from Hawthorn (Crataegus sp),Anthonomus pedicularius,,Coleoptera,Curculionidae,
02/04/2022,Beaten from Hawthorn (Crataegus sp),Lochmaea crataegi,,Coleoptera,Chrysomelidae,
02/04/2022,Beaten from Hawthorn (Crataegus sp),Anthonomus pedicularius,,Coleoptera,Curculionidae,
02/04/2022,Beaten from Hawthorn (Crataegus sp),Mecinus pascuorum,,Coleoptera,Curculionidae,
02/04/2022,In the Kew palm glass house ,Subulina octona,Miniature Awlsnail,Stylommatophora,Achatinidae,
03/04/2022,,Bombus lapidarius,Red-tailed Bumble Bee,Hymenoptera,Apidae,
22/03/2022,,Pseudeuophrys lanigera,House Jumping Spider,Araneae,Salticidae,
03/04/2022,,Polygonia c-album,European Comma,Lepidoptera,Nymphalidae,
03/04/2022,,Halyzia sedecimguttata,Orange Ladybird,Coleoptera,Coccinellidae,
03/04/2022,Snail,Cornu aspersum,Garden Snail,Stylommatophora,Helicidae,
03/04/2022,Several seen,Bombylius major,Greater Bee Fly,Diptera,Bombyliidae,
03/04/2022,Several seen,Melanostoma scalare,Ladder-backed Hover Fly,Diptera,Syrphidae,
03/04/2022,,Osmia cornuta,European Orchard Bee,Hymenoptera,Megachilidae,
03/04/2022,,Bombus terrestris,Buff-tailed Bumble Bee,Hymenoptera,Apidae,
03/04/2022,,Osmia cornuta,European Orchard Bee,Hymenoptera,Megachilidae,
02/04/2022,,Lilioceris lilii,Lily Leaf Beetle,Coleoptera,Chrysomelidae,
03/04/2022,,Anthophora plumipes,Hairy-footed Flower Bee,Hymenoptera,Apidae,
04/04/2022,,Cornu aspersum,Garden Snail,Stylommatophora,Helicidae,
04/04/2022,,Macaroeris nidicolens,Mile End Jumping Spider,Araneae,Salticidae,
28/03/2022,,Celastrina argiolus,Holly Blue,Lepidoptera,Lycaenidae,
04/04/2022,,Bombus terrestris,Buff-tailed Bumble Bee,Hymenoptera,Apidae,
05/04/2022,,Platycheirus albimanus,Grey-spotted Sedgesitter,Diptera,Syrphidae,
03/04/2022,,Pisaura mirabilis,European Nursery Web spider,Araneae,Pisauridae,
03/04/2022,,Eristalis pertinax,Tapered Drone Fly,Diptera,Syrphidae,
05/04/2022,,Coccinella septempunctata,7-spot ladybird,Coleoptera,Coccinellidae,
05/04/2022,,Pseudeuophrys lanigera,House Jumping Spider,Araneae,Salticidae,
05/04/2022,,Episyrphus balteatus,Marmalade Hover Fly,Diptera,Syrphidae,
05/04/2022,,Andrena flavipes,Yellow-legged Mining Bee,Hymenoptera,Andrenidae,
05/04/2022,,Aceria ilicis,Holm Oak Felt Gall Mite,Sarcoptiformes,Eriophyidae,
05/04/2022,,Limacus maculatus,Green Cellar Slug,Stylommatophora,Limacidae,
05/04/2022,,Andrena nitida,Grey-patched Mining Bee,Hymenoptera,Andrenidae,
05/04/2022,,Myrmica rubra,Common Red Ant,Hymenoptera,Formicidae,
05/04/2022,,Labulla thoracica,,Araneae,Linyphiidae,
05/04/2022,Beaten from Hawthorn (Crataegus sp),Cardiastethus fasciiventris,,Hemiptera,Anthocoridae,
05/04/2022,Beaten from Hawthorn (Crataegus sp),Adalia decempunctata,10-spot Ladybird,Coleoptera,Coccinellidae,
05/04/2022,,Anthophora plumipes,Hairy-footed Flower Bee,Hymenoptera,Apidae,
05/04/2022,,Anthophora plumipes,Hairy-footed Flower Bee,Hymenoptera,Apidae,
06/04/2022,,Bombus terrestris,Buff-tailed Bumble Bee,Hymenoptera,Apidae,
06/04/2022,,Cornu aspersum,Garden Snail,Stylommatophora,Helicidae,
06/04/2022,,Bombus lapidarius,Red-tailed Bumble Bee,Hymenoptera,Apidae,
06/04/2022,,Agonopterix alstroemeriana,Poison hemlock moth,Lepidoptera,Depressariidae,
03/04/2022,,Phlogophora meticulosa,Angle Shades,Lepidoptera,Noctuidae,
05/04/2022,Beaten from Hawthorn (Crataegus sp),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
05/04/2022,Beaten from Hawthorn (Crataegus sp),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
05/04/2022,Beaten from Hawthorn (Crataegus sp),Cardiastethus fasciiventris,,Hemiptera,Anthocoridae,
05/04/2022,Beaten from Hawthorn (Crataegus sp),Lochmaea crataegi,,Coleoptera,Chrysomelidae,
05/04/2022,Beaten from Hawthorn (Crataegus sp),Lochmaea crataegi,,Coleoptera,Chrysomelidae,
05/04/2022,Beaten from Hawthorn (Crataegus sp),Physatocheila dumetorum,hawthorn lacebug,Hemiptera,Tingidae,
05/04/2022,Beaten from Hawthorn (Crataegus sp),Anthonomus bituberculatus,,Coleoptera,Curculionidae,
05/04/2022,Beaten from Hawthorn (Crataegus sp),Acrobasis advenella,Grey Knot-horn,Lepidoptera,Pyralidae,
05/04/2022,Beaten from Hawthorn (Crataegus sp),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
06/04/2022,,Nephrotoma appendiculata,Spotted Cranefly,Diptera,Tipulidae,
07/04/2022,,Andrena fulva,Tawny Mining Bee,Hymenoptera,Andrenidae,
07/04/2022,,Bombylius major,Greater Bee Fly,Diptera,Bombyliidae,
07/04/2022,,Sphaerophoria,Globetails,Diptera,Syrphidae,
07/04/2022,,Melanostoma,,Diptera,Syrphidae,
07/04/2022,,Anthocharis cardamines,orange-tip,Lepidoptera,Pieridae,
07/04/2022,Beaten from Oak(Quercus sp),Harmonia axyridis,Harlequin Ladybird,Coleoptera,Coccinellidae,
07/04/2022,Beaten from Oak (Quercus sp),Harpocera thoracica,handsome plant bug,Hemiptera,Miridae,
07/04/2022,Beaten from Oak (Quercus sp),Adalia decempunctata,10-spot Ladybird,Coleoptera,Coccinellidae,
07/04/2022,Beaten from Holm Oak (Quercus ilex),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
07/04/2022,Beaten from Holm Oak (Quercus ilex),Pentatoma rufipes,Forest Bug,Hemiptera,Pentatomidae,
07/04/2022,Beaten from Holm Oak (Quercus ilex),Adalia decempunctata,10-spot Ladybird,Coleoptera,Coccinellidae,
07/04/2022,Beaten from Holm Oak (Quercus ilex),Pentatoma rufipes,Forest Bug,Hemiptera,Pentatomidae,
07/04/2022,Beaten from Holm Oak (Quercus ilex),Deraeocoris lutescens,,Hemiptera,Miridae,
07/04/2022,Beaten from Holm Oak (Quercus ilex),Harmonia axyridis,Harlequin Ladybird,Coleoptera,Coccinellidae,
07/04/2022,Beaten from Holm Oak (Quercus ilex),Epistrophe eligans,Spring Epistrophe,Diptera,Syrphidae,
07/04/2022,Beaten from Yew (Taxus baccata),Platnickina tincta,False Pirate Spider,Araneae,Theridiidae,
07/04/2022,Beaten from Yew (Taxus baccata),Eristalis pertinax,Tapered Drone Fly,Diptera,Syrphidae,
07/04/2022,Beaten from Yew (Taxus baccata),Halyzia sedecimguttata,Orange Ladybird,Coleoptera,Coccinellidae,
07/04/2022,Beaten from Yew (Taxus baccata),Acanthosoma haemorrhoidale,Hawthorn Shield Bug,Hemiptera,Acanthosomatidae,
07/04/2022,Beaten from Holm Oak (Quercus ilex),Propylea quatuordecimpunctata,14-spot Ladybird,Coleoptera,Coccinellidae,
07/04/2022,Beaten from Holm Oak (Quercus ilex),Platnickina tincta,False Pirate Spider,Araneae,Theridiidae,
07/04/2022,Beaten from Holm Oak (Quercus ilex),Diaea dorsata,Eurasian Green Crab Spider,Araneae,Thomisidae,
07/04/2022,,Xylocampa areola,Early Grey,Lepidoptera,Noctuidae,
07/04/2022,,Orthosia cruda,Small Quaker,Lepidoptera,Noctuidae,
08/04/2022,,Orthosia gothica,Hebrew Character,Lepidoptera,Noctuidae,
08/04/2022,,Orthosia gothica,Hebrew Character,Lepidoptera,Noctuidae,
08/04/2022,,Orthosia cerasi,Common Quaker,Lepidoptera,Noctuidae,
08/04/2022,,Diurnea fagella,March Tubic,Lepidoptera,Lypusidae,
08/04/2022,,Bombus lapidarius,Red-tailed Bumble Bee,Hymenoptera,Apidae,
08/04/2022,,Bombylius major,Greater Bee Fly,Diptera,Bombyliidae,
07/04/2022,Released outside after these photos,Pieris rapae,Small White,Lepidoptera,Pieridae,
08/04/2022,,Bombus lapidarius,Red-tailed Bumble Bee,Hymenoptera,Apidae,
08/04/2022,On Taraxicum officinale agg,Bombus pascuorum,Common Carder Bee,Hymenoptera,Apidae,
08/04/2022,,Bombus lapidarius,Red-tailed Bumble Bee,Hymenoptera,Apidae,
08/04/2022,,Bombus vestalis,Vestal Cuckoo Bumble bee,Hymenoptera,Apidae,
08/04/2022,,Nemopoda nitidula,,Diptera,Sepsidae,
08/04/2022,,Bombylius major,Greater Bee Fly,Diptera,Bombyliidae,
08/04/2022,,Pisaura mirabilis,European Nursery Web spider,Araneae,Pisauridae,
08/04/2022,,Cornu aspersum,Garden Snail,Stylommatophora,Helicidae,
08/04/2022,,Misumena vatia,Goldenrod Crab Spider,Araneae,Thomisidae,
08/04/2022,Beaten from Hawthorn (Crataegus sp),Phyllobius pyri,Common Leaf Weevil,Coleoptera,Curculionidae,
08/04/2022,Beaten from Hawthorn (Crataegus sp),Calvia quatuordecimguttata,Cream-spot Ladybird,Coleoptera,Coccinellidae,
08/04/2022,Beaten from Hawthorn (Crataegus sp),Physatocheila dumetorum,hawthorn lacebug,Hemiptera,Tingidae,
08/04/2022,Beaten from Hawthorn (Crataegus sp),Physatocheila dumetorum,hawthorn lacebug,Hemiptera,Tingidae,
08/04/2022,Beaten from Hawthorn (Crataegus sp),Mecinus pascuorum,,Coleoptera,Curculionidae,
08/04/2022,Beaten from Hawthorn (Crataegus sp),Anaspis maculata,,Coleoptera,Scraptiidae,
08/04/2022,Beaten from Hawthorn (Crataegus sp),Lochmaea crataegi,,Coleoptera,Chrysomelidae,
08/04/2022,,Pieris rapae,Small White,Lepidoptera,Pieridae,
09/04/2022,,Xylocampa areola,Early Grey,Lepidoptera,Noctuidae,
08/04/2022,,Andrena fulva,Tawny Mining Bee,Hymenoptera,Andrenidae,
08/04/2022,,Syrphus,Common Flower Flies,Diptera,Syrphidae,
08/04/2022,,Bombus pascuorum,Common Carder Bee,Hymenoptera,Apidae,
09/04/2022,,Zoropsis spinimana,Mediterranean Spiny False Wolf Spider,Araneae,Zoropsidae,
09/04/2022,,Epistrophe eligans,Spring Epistrophe,Diptera,Syrphidae,
09/04/2022,,Pararge aegeria,Speckled Wood,Lepidoptera,Nymphalidae,
09/04/2022,,Harmonia axyridis,Harlequin Ladybird,Coleoptera,Coccinellidae,
09/04/2022,,Bombus terrestris,Buff-tailed Bumble Bee,Hymenoptera,Apidae,
09/04/2022,,Bombus pascuorum,Common Carder Bee,Hymenoptera,Apidae,
09/04/2022,,Gastrophysa viridula,Green Dock Beetle,Coleoptera,Chrysomelidae,
08/04/2022,,Myathropa florea,Batman Hoverfly,Diptera,Syrphidae,
08/04/2022,,Palomena prasina,Green Shield Bug,Hemiptera,Pentatomidae,
09/04/2022,,Bombus vestalis,Vestal Cuckoo Bumble bee,Hymenoptera,Apidae,
09/04/2022,,Gonocerus acuteangulatus,Box Bug,Hemiptera,Coreidae,
09/04/2022,,Nomada goodeniana,Gooden's Nomad Bee,Hymenoptera,Apidae,
09/04/2022,,Andrena fulva,Tawny Mining Bee,Hymenoptera,Andrenidae,
09/04/2022,,Anthophora plumipes,Hairy-footed Flower Bee,Hymenoptera,Apidae,
09/04/2022,,Bombus pascuorum,Common Carder Bee,Hymenoptera,Apidae,
09/04/2022,,Macaroeris nidicolens,Mile End Jumping Spider,Araneae,Salticidae,
08/04/2022,,Eristalis arbustorum,Eurasian Drone Fly,Diptera,Syrphidae,
08/04/2022,,Araniella,Cucumber Spiders,Araneae,Araneidae,
09/04/2022,,Gymnocheta viridis,,Diptera,Tachinidae,
30/03/2022,,Anthophora plumipes,Hairy-footed Flower Bee,Hymenoptera,Apidae,
08/04/2022,,Epistrophe eligans,Spring Epistrophe,Diptera,Syrphidae,
